src/storage/abstract.py:19: error: Name "Vacancy" is not defined  [name-defined]
src/utils/vacancy_formatter.py:214: error: Cannot find implementation or library stub for module named "utils.salary"  [import-not-found]
src/utils/vacancy_formatter.py:214: error: Name "Salary" already defined (possibly by an import)  [no-redef]
src/storage/components/database_connection.py:19: error: Name "PsycopgError" already defined on line 14  [no-redef]
src/storage/db_manager.py:21: error: Name "PsycopgError" already defined on line 16  [no-redef]
src/storage/db_manager.py:113: error: Return value expected  [return-value]
src/storage/db_manager.py:291: error: Missing return statement  [return]
src/vacancies/models.py:327: error: Cannot override writeable attribute with read-only property  [override]
src/utils/api_data_filter.py:279: error: Cannot find implementation or library stub for module named "utils.data_normalizers"  [import-not-found]
src/utils/api_data_filter.py:279: error: Name "normalize_area_data" already defined (possibly by an import)  [no-redef]
src/utils/api_data_filter.py:293: error: Name "normalize_experience_data" already defined (possibly by an import)  [no-redef]
src/storage/postgres_saver.py:13: error: Name "PsycopgError" already defined on line 9  [no-redef]
src/storage/postgres_saver.py:462: error: Cannot find implementation or library stub for module named "utils.data_normalizers"  [import-not-found]
src/storage/postgres_saver.py:462: error: Name "normalize_area_data" already defined (possibly by an import)  [no-redef]
src/storage/services/vacancy_storage_service.py:82: error: Cannot find implementation or library stub for module named "src.storage.services.filtering_strategies"  [import-not-found]
src/storage/services/vacancy_storage_service.py:82: note: See https://mypy.readthedocs.io/en/stable/running_mypy.html#missing-imports
src/storage/services/vacancy_storage_service.py:311: error: Invalid index type "str" for "str"; expected type "SupportsIndex | slice[Any, Any, Any]"  [index]
src/storage/services/vacancy_storage_service.py:312: error: Invalid index type "str" for "str"; expected type "SupportsIndex | slice[Any, Any, Any]"  [index]
src/ui_interfaces/console_interface.py:70: error: Function "DBManagerDemo_class" could always be true in boolean context  [truthy-function]
src/ui_interfaces/console_interface.py:150: error: Function "DBManager_class" could always be true in boolean context  [truthy-function]
src/ui_interfaces/console_interface.py:150: error: Function "DBManagerDemo_class" could always be true in boolean context  [truthy-function]
Found 20 errors in 9 files (checked 74 source files)
